0.266 pkt: 86 | sent
0.266 pkt: 87 | sent
0.266 pkt: 88 | sent
0.266 pkt: 89 | sent
0.266 pkt: 90 | sent
0.267 ACK: 58 | received
0.267 ACK: 58 | received
0.267 pkt: 58 | 3 duplicated ACKs
0.267 pkt: 59 | retransmitted
0.270 ACK: 11 | received
0.270 ACK: 58 | received
0.270 pkt: 58 | 3 duplicated ACKs
0.270 pkt: 59 | retransmitted
0.270 ACK: 58 | received
0.272 ACK: 58 | received
0.272 pkt: 58 | 3 duplicated ACKs
0.272 pkt: 59 | retransmitted
0.274 ACK: 12 | received
0.277 ACK: 58 | received
0.277 pkt: 58 | 3 duplicated ACKs
0.277 pkt: 59 | retransmitted
0.278 ACK: 13 | received
0.279 ACK: 58 | received
0.279 pkt: 58 | 3 duplicated ACKs
0.279 pkt: 59 | retransmitted
0.281 ACK: 58 | received
0.282 ACK: 58 | received
0.282 pkt: 58 | 3 duplicated ACKs
0.282 pkt: 59 | retransmitted
0.283 ACK: 14 | received
0.284 ACK: 58 | received
0.284 pkt: 58 | 3 duplicated ACKs
0.284 pkt: 59 | retransmitted
0.286 ACK: 59 | received
0.286 pkt: 91 | sent
0.286 ACK: 60 | received
0.286 pkt: 92 | sent
0.288 ACK: 61 | received
0.288 pkt: 93 | sent
0.289 ACK: 62 | received
0.289 pkt: 94 | sent
0.289 ACK: 63 | received
0.290 pkt: 95 | sent
0.290 ACK: 15 | received
0.291 ACK: 64 | received
0.291 pkt: 96 | sent
0.292 ACK: 65 | received
0.292 pkt: 97 | sent
0.293 ACK: 65 | received
0.294 ACK: 65 | received
0.294 pkt: 65 | 3 duplicated ACKs
0.294 pkt: 66 | retransmitted
0.295 ACK: 65 | received
0.296 ACK: 65 | received
0.296 pkt: 65 | 3 duplicated ACKs
0.296 pkt: 66 | retransmitted
0.297 ACK: 16 | received
0.298 ACK: 65 | received
0.298 pkt: 65 | 3 duplicated ACKs
0.298 pkt: 66 | retransmitted
0.298 ACK: 65 | received
0.300 ACK: 65 | received
0.300 pkt: 65 | 3 duplicated ACKs
0.300 pkt: 66 | retransmitted
0.301 ACK: 65 | received
0.302 ACK: 65 | received
0.302 pkt: 65 | 3 duplicated ACKs
0.302 pkt: 66 | retransmitted
0.303 ACK: 65 | received
0.304 ACK: 17 | received
0.304 pkt: 65 | 3 duplicated ACKs
0.304 pkt: 66 | retransmitted
0.305 ACK: 65 | received
0.307 ACK: 65 | received
0.307 pkt: 65 | 3 duplicated ACKs
0.307 pkt: 66 | retransmitted
0.307 ACK: 65 | received
0.308 ACK: 65 | received
0.308 pkt: 65 | 3 duplicated ACKs
0.308 pkt: 66 | retransmitted
0.309 ACK: 65 | received
0.310 ACK: 65 | received
0.310 pkt: 65 | 3 duplicated ACKs
0.310 pkt: 66 | retransmitted
0.311 ACK: 65 | received
0.312 ACK: 65 | received
0.312 pkt: 65 | 3 duplicated ACKs
0.312 pkt: 66 | retransmitted
0.314 ACK: 65 | received
0.315 ACK: 65 | received
0.315 pkt: 65 | 3 duplicated ACKs
0.315 pkt: 66 | retransmitted
0.315 ACK: 18 | received
0.318 ACK: 65 | received
0.318 pkt: 65 | 3 duplicated ACKs
0.318 pkt: 66 | retransmitted
0.319 ACK: 65 | received
0.320 ACK: 65 | received
0.320 pkt: 65 | 3 duplicated ACKs
0.320 pkt: 66 | retransmitted
0.321 ACK: 65 | received
0.322 ACK: 65 | received
0.322 pkt: 65 | 3 duplicated ACKs
0.322 pkt: 66 | retransmitted
0.323 ACK: 65 | received
0.323 ACK: 19 | received
0.323 pkt: 65 | 3 duplicated ACKs
0.323 pkt: 66 | retransmitted
0.324 ACK: 65 | received
0.325 ACK: 65 | received
0.325 pkt: 65 | 3 duplicated ACKs
0.325 pkt: 66 | retransmitted
0.326 ACK: 65 | received
0.328 ACK: 65 | received
0.328 pkt: 65 | 3 duplicated ACKs
0.328 pkt: 66 | retransmitted
0.329 ACK: 65 | received
0.330 ACK: 65 | received
0.330 pkt: 65 | 3 duplicated ACKs
0.330 pkt: 66 | retransmitted
0.332 ACK: 20 | received
0.332 ACK: 65 | received
0.332 pkt: 65 | 3 duplicated ACKs
0.332 pkt: 66 | retransmitted
0.332 ACK: 65 | received
0.333 ACK: 65 | received
0.333 pkt: 65 | 3 duplicated ACKs
0.333 pkt: 66 | retransmitted
0.335 ACK: 65 | received
0.336 ACK: 65 | received
0.337 pkt: 65 | 3 duplicated ACKs
0.337 pkt: 66 | retransmitted
0.337 ACK: 97 | received
0.337 pkt: 98 | sent
0.337 pkt: 99 | sent
0.337 pkt: 100 | sent
0.337 pkt: 101 | sent
0.337 pkt: 102 | sent
0.337 pkt: 103 | sent
0.338 pkt: 104 | sent
0.338 pkt: 105 | sent
0.338 pkt: 106 | sent
0.338 pkt: 107 | sent
0.338 pkt: 108 | sent
0.338 pkt: 109 | sent
0.338 pkt: 110 | sent
0.338 pkt: 111 | sent
0.338 pkt: 112 | sent
0.338 pkt: 113 | sent
0.339 pkt: 114 | sent
0.339 pkt: 115 | sent
0.339 pkt: 116 | sent
0.339 pkt: 117 | sent
0.339 pkt: 118 | sent
0.339 pkt: 119 | sent
0.339 pkt: 120 | sent
0.339 pkt: 121 | sent
0.339 pkt: 122 | sent
0.339 pkt: 123 | sent
0.340 pkt: 124 | sent
0.340 pkt: 125 | sent
0.340 pkt: 126 | sent
0.340 pkt: 127 | sent
0.340 pkt: 128 | sent
0.340 pkt: 129 | sent
0.340 ACK: 97 | received
0.340 ACK: 97 | received
0.340 pkt: 97 | 3 duplicated ACKs
0.340 pkt: 98 | retransmitted
0.340 ACK: 97 | received
0.342 ACK: 97 | received
0.343 pkt: 97 | 3 duplicated ACKs
0.343 pkt: 98 | retransmitted
0.344 ACK: 97 | received
0.345 ACK: 20 | received
0.345 pkt: 97 | 3 duplicated ACKs
0.345 pkt: 98 | retransmitted
0.346 ACK: 97 | received
0.347 ACK: 97 | received
0.347 pkt: 97 | 3 duplicated ACKs
0.347 pkt: 98 | retransmitted
0.347 ACK: 97 | received
0.352 ACK: 20 | received
0.352 pkt: 97 | 3 duplicated ACKs
0.352 pkt: 98 | retransmitted
0.352 ACK: 97 | received
0.352 ACK: 97 | received
0.352 pkt: 97 | 3 duplicated ACKs
0.352 pkt: 98 | retransmitted
0.352 ACK: 97 | received
0.352 ACK: 97 | received
